Row Labels,Sum of Cases,Sum of Deaths,CFR,WorldPop,WPPM,Cases/M,Deaths/M,Country ,urban,Popdens,Obesity_rate,Diabetes_prevalence,Old-age,Hypertension,Avg_temp,Tot_Rain,AQI
Albania,0,0,,40099462,40.099462,0,,Albania,63.799,102.623,21.7,10.2,24.446985,42,16.32,1033.22,74
Andorra,0,0,,2854710,2.85471,0,,Andorra,87.811,172.034,25.6,9.7,21.30046,31,7.65,1183.46,75
Armenia,0,0,,79034,0.079034,0,,Armenia,63.573,103.408,20.2,5.6,19.643763,47,7.76,923.09,
Austria,0,0,,34503774,34.503774,0,,Austria,59.256,3.443,29,4.6,30.73231,34,7.03,1455.62,43
Azerbaijan,0,0,,15753,0.015753,0,,Azerbaijan,57.17,110.646,19.9,5.6,11.501091,41,17.05,645.85,
Belarus,0,0,,93219,0.093219,0,,Belarus,80.326,44.925,24.5,5.6,25.745773,49,8.4,742.98,88
Belgium,0,0,,2790974,2.790974,0,,Belgium,98.153,386.845,22.1,3.6,31.654547,30,10.96,1173.19,39
Bosnia and Herzegovina,0,0,,106537,0.106537,0,,Bosnia and Herzegovina,49.841,62.212,17.9,9.1,33.189537,44,9.92,1060.84,89
Bulgaria,0,0,,25921089,25.921089,0,,Bulgaria,76.363,62.694,25,7.4,34.304073,45,13.81,655.21,78
Burundi,0,0,,8922082,8.922082,0,,Burundi,14.417,527.532,5.4,6.5,4.815837,34,24.89,2306.82,
Cameroon,0,0,,10312992,10.312992,0,,Cameroon,58.733,60.879,11.4,5.5,5.0025544,37,24,1655.7,164
Canada,0,0,,407906,0.407906,0,,Canada,81.752,4.322,29.4,7.7,29.576546,22,-0.97,695.24,25
Congo,0,0,,281200,0.2812,0,,Congo,68.736,18.105,9.6,5.5,5.1859226,40,26.35,1283.17,
Cook Islands,0,0,,9578167,9.578167,0,,Cook Islands,,59.258,,,20.698986,43,26.76,672.42,
Croatia,0,0,,11611419,11.611419,0,,Croatia,58.219,69.701,24.4,4.8,36.16123,48,12.82,1355.65,51
Cyprus,0,0,,400031,0.400031,0,,Cyprus,66.911,145.56,21.8,8.6,20.555784,31,21.32,273.58,51
Czechia,0,0,,12996895,12.996895,0,,Czech Republic,74.377,140.017,26,7.1,32.199486,42,10.46,823.59,55
Denmark,0,0,,64185,0.064185,0,,Denmark,88.367,140.306,19.7,5.3,32.39204,36,9.15,1629.14,32
Estonia,0,0,,787424,0.787424,0,,Estonia,69.609,31.454,21.2,6.5,33.10512,40,7.45,769.51,5
Finland,0,0,,26706,0.026706,0,,Finland,85.681,18.524,22.2,6.1,38.313972,36,4.73,875.03,22
Gabon,0,0,,3270943,3.270943,0,,Gabon,90.735,9.643,15,5.5,6.81421,37,24.8,2102.86,
Gambia,0,0,,31122,0.031122,0,,Gambia,63.852,266.586,10.3,1.9,5.290152,38,28.68,946.67,
Georgia,0,0,,6885868,6.885868,0,,Georgia,60.297,54.792,21.7,5.7,24.055786,45,19.47,1308.33,67
Germany,0,0,,12551213,12.551213,0,,Germany,77.648,242.564,22.3,6.9,35.972492,30,10.16,821.92,39
Greece,0,0,,587925,0.587925,0,,Greece,80.357,78.298,24.9,6.4,37.26443,31,13.99,747.47,60
Guinea-Bissau,0,0,,16589023,16.589023,0,,Guinea-Bissau,45.041,76.577,9.5,2.1,5.4543185,38,27.52,2305.45,
Holy See,0,0,,27198628,27.198628,0,,,,,,,,,,,
Hungary,0,0,,38155012,38.155012,0,,Hungary,72.552,106.997,26.4,7,32.160297,48,13.9,468.68,13
Iceland,0,0,,,0,#DIV/0!,,Iceland,93.992,3.866,21.9,5.5,23.02852,28,-3.46,986.57,16
Ireland,0,0,,5457154,5.457154,0,,Ireland,64.183,76.011,25.3,3,23.725014,32,9.47,1070.46,36
Israel,0,0,,17179740,17.17974,0,,Israel,92.763,427.682,26.1,8.5,20.655157,29,21.19,160.98,61
Kazakhstan,0,0,,19493184,19.493184,0,,Kazakhstan,57.99,7.531,21,6.6,13.364349,42,5.96,229.71,71
Kiribati,0,0,,1425893465,1425.893465,0,,Kiribati,57.058,182.549,,22.1,6.761156,42,28.85,1555.85,126
Kyrgyzstan,0,0,,5835806,5.835806,0,,Kyrgyzstan,37.461,36.88,16.6,6.6,8.76728,41,0.98,488.95,95
Latvia,0,0,,17003,0.017003,0,,Latvia,68.54,30.25,23.6,,33.8569,44,8.42,756.57,49
Liechtenstein,0,0,,5153957,5.153957,0,,Liechtenstein,14.538,,,6.1,30.794434,,6.02,1849.35,
Lithuania,0,0,,27478249,27.478249,0,,Lithuania,68.465,45.577,26.3,5.8,30.410069,48,9.02,2.01,
Luxembourg,0,0,,4060135,4.060135,0,,Luxembourg,91.881,256.795,22.6,5.9,21.846792,31,9.73,1243.62,35
Madagascar,0,0,,11256372,11.256372,0,,Madagascar,39.882,53.62,5.3,4.6,5.841431,37,18.89,4.35,93
Malta,0,0,,190338,0.190338,0,,Malta,94.875,1691.924,28.9,8,29.47845,30,21.02,270.63,39
Marshall Islands,0,0,,1244188,1.244188,0,,Marshall Islands,78.52,215.706,,23,7.222856,32,28.71,7.8,
Monaco,0,0,,10510751,10.510751,0,,Monaco,100,26145.303,,6.2,70.11033,,,,27
Montenegro,0,0,,5854240,5.85424,0,,Montenegro,68.164,45.87,23.3,9.1,27.187729,45,11.78,1540.89,81
Mozambique,0,0,,72412,0.072412,0,,Mozambique,38.187,42.772,7.2,3.3,5.2719865,39,26.22,997.16,
Namibia,0,0,,112716598,112.716598,0,,Namibia,53.956,3.599,17.2,6.7,6.0365663,44,23,239.82,
Netherlands (Kingdom of the),0,0,,6314167,6.314167,0,,Netherlands,92.886,537.333,20.4,4.5,31.145607,31,11.5,1020.09,37
Niue,0,0,,3620312,3.620312,0,,Niue,,6.99,,,26.612904,40,26.34,1796.79,
North Macedonia,0,0,,1328701,1.328701,0,,North Macedonia,59.118,73.528,,6.1,26.74321,45,14.06,655.19,79
Norway,0,0,,120283026,120.283026,0,,Norway,83.664,18.142,23.1,3.6,28.497911,31,5.79,1679.42,9
Pitcairn Islands,0,0,,924610,0.92461,0,,Pitcairn Islands,,,,,,,,,
Poland,0,0,,5535992,5.535992,0,,Poland,60.134,126.596,23.1,6.8,29.908493,49,10.88,618.24,60
Portugal,0,0,,64531444,64.531444,0,,Portugal,67.381,113.396,20.8,9.1,38.23013,32,16.21,734.57,57
Republic of Moldova,0,0,,297449,0.297449,0,,,,,,,,,,,
Romania,0,0,,304032,0.304032,0,,Romania,54.489,83.096,22.5,6.5,30.679722,48,11.4,604.07,62
Russian Federation,0,0,,2341179,2.341179,0,,Russia,75.126,8.882,23.1,5.6,25.19117,44,-11.69,765.39,18
